"id","lines_per_sec"
"AF-156400",0.508478425410723
"AF-156401",0.472636906377001
"AF-156402",0.436795387343279
"AF-156403",0.331517773970488
"AF-156404",0.351395311829866
"AF-156405",0.251021281830329
"AF-156406",0.267962230327324
"AF-156407",0.28490317882432
"AF-156408",0.371272849689243
"AF-156409",0.39115038754862
"AF-156410",0.19149007225599
"AF-156411",0.182139769511979
"AF-156412",0.172789466767969
"AF-156413",0.163439164023958
"AF-156414",0.430030090277778
"AF-156415",0.478863773468439
"AF-156416",0.535287449714655
"AF-156417",0.597352860073196
"AF-156418",0.661465761813059
"AF-156419",0.725578663552922
"AF-156420",0.50082
"AF-156421",0.523799972222222
"AF-156422",0.524209972222222
"AF-156423",0.546779944444444
"AF-156424",0.569759916666667
"AF-156425",0.458897941539324
"AF-156426",0.451035841411981
"AF-156427",0.51146860754524
"AF-156428",0.527182027080215
"AF-156429",0.576524026382653
"AF-156430",0.528179962962963
"AF-156431",0.545097187312702
"AF-156432",0.487553347222222
"AF-156433",0.497266666666667
"AF-156434",0.47995139227315
"AF-156435",0.470982770657412
"AF-156436",0.462014149041673
"AF-156437",0.453045527425935
"AF-156438",0.587273222222222
"AF-156439",0.685626430555555
"AF-156440",0.786683641666667
"AF-156441",0.785287644444444
"AF-156442",0.783891647222222
"AF-156443",0.78249565
"AF-156444",0.716402482984898
"AF-156445",0.723559990697325
"AF-156446",0.681200314727982
"AF-156447",0.63884063875864
"AF-156448",0.60461946744961
"AF-156449",0.500029542504108
"AF-156450",0.85817155
"AF-156451",0.850703558333333
"AF-156452",0.843235566666667
"AF-156453",0.835767575
"AF-156454",0.722224355197596
"AF-156455",0.609395566565907
"AF-156456",0.545686611111111
"AF-156457",0.558133263888889
"AF-156458",0.678529043728525
"AF-156459",0.634833732259453
"AF-156460",0.767901636423779
"AF-156461",0.710385253764235
"AF-156462",0.72170292358573
"AF-156463",0.73288611106035
"AF-156464",0.766957229389539
"AF-156465",0.769883606180892
"AF-156466",0.742832033359736
"AF-156467",0.795548041690691
"AF-156468",0.77132141386097
"AF-156469",0.77222829321001
"AF-156470",0.792471257878143
"AF-156471",0.710250771417359
"AF-156472",0.669219020443917
"AF-156473",0.633691407266264
"AF-156474",0.665258263110057
"AF-156475",0.80997129815827
"AF-156476",0.644227468678692
"AF-156477",0.364826687815001
"AF-156478",0.452506721137844
"AF-156479",0.349259631508545
"AF-156480",0.315304855199676
"AF-156481",0.533669555579446
"AF-156482",0.727686699182015
"AF-156483",0.661297505776196
"AF-156484",0.646263330226701
"AF-156485",0.765417492795455
"AF-156486",0.437316229083356
"AF-156487",0.562702334638625
"AF-156488",0.606197214400426
"AF-156489",0.478260240609881
"AF-156490",0.416900104166667
"AF-156491",0.671600468489326
"AF-156492",0.28462155497886
"AF-156493",0.770418983984411
"AF-156494",0.484618521364092
"AF-156495",0.65751233897107
"AF-156496",0.583500103481649
"AF-156497",0.768139784495598
"AF-156498",0.710970237494141
"AF-156499",0.573253096808405
"AF-156500",0.70235008350997
"AF-156501",0.513275963354976
"AF-156502",0.477447917598832
"AF-156503",0.627975593408983
"AF-156504",0.576760221595535
"AF-156505",0.356612919510384
"AF-156506",0.513674847433175
"AF-156507",0.424626558888783
"AF-156508",0.506119113694542
"AF-156509",0.505538184615834
"AF-156510",0.289378457088597
"AF-156511",0.631519840277778
"AF-156512",0.364492103804153
"AF-156513",0.71640421447051
"AF-156514",0.447925783339725
"AF-156515",0.76134574102153
"AF-156516",0.421326201502396
"AF-156517",0.603756568433749
"AF-156518",0.63342642983977
"AF-156519",0.621879847222222
"AF-156520",0.364356964630396
"AF-156521",0.459122320327154
"AF-156522",0.657336748442335
"AF-156523",0.515179986111111
"AF-156524",0.457329187929687
"AF-156525",0.652418776704598
"AF-156526",0.796554056437027
"AF-156527",0.653684028320256
"AF-156528",0.742943139962877
"AF-156529",0.623281749906272
"AF-156530",0.555280948791613
"AF-156531",0.606586259764151
"AF-156532",0.632602515814713
"AF-156533",0.71153669320984
"AF-156534",0.711186175954197
"AF-156535",0.472271445423671
"AF-156536",0.737165667128844
"AF-156537",0.554200318954693
"AF-156538",0.57427324537037
"AF-156539",0.491724203639918
"AF-156540",0.732184401799156
"AF-156541",0.743165353169158
"AF-156542",0.600265317639957
"AF-156543",0.704063994118261
"AF-156544",0.639970992389673
